device_id,zone_id,zone_name,proximity_status,rssi_dbm,nfc_confirmed,timestamp,is_anomaly
STUBAND_003,ZONE_D,Restricted Area,1,-53,1,2025-12-01T08:03:00,0
STUBAND_001,ZONE_C,Library,1,-71,1,2025-12-01T08:07:00,0
STUBAND_002,ZONE_A,Lecture Hall,1,-46,1,2025-12-01T08:07:00,0
STUBAND_004,ZONE_A,Lecture Hall,1,-51,1,2025-12-01T08:07:00,0
STUBAND_007,ZONE_B,Laboratory,1,-50,1,2025-12-01T08:12:00,0
STUBAND_013,ZONE_A,Lecture Hall,1,-46,1,2025-12-01T08:12:00,0
STUBAND_008,ZONE_B,Laboratory,1,-68,1,2025-12-01T08:15:00,0
STUBAND_006,ZONE_C,Library,1,-65,1,2025-12-01T08:21:00,0
STUBAND_010,ZONE_C,Library,1,-72,1,2025-12-01T08:21:00,0
STUBAND_011,ZONE_C,Library,1,-55,1,2025-12-01T08:27:00,0
STUBAND_014,ZONE_A,Lecture Hall,1,-50,1,2025-12-01T08:27:00,0
STUBAND_002,ZONE_A,Lecture Hall,0,-46,1,2025-12-01T08:28:00,0
STUBAND_012,ZONE_B,Laboratory,1,-52,1,2025-12-01T08:28:00,0
STUBAND_005,ZONE_C,Library,1,-55,1,2025-12-01T08:29:00,0
STUBAND_006,ZONE_C,Library,0,-65,1,2025-12-01T08:55:00,0
STUBAND_002,ZONE_C,Library,1,-70,1,2025-12-01T08:57:00,0
STUBAND_008,ZONE_B,Laboratory,0,-68,1,2025-12-01T09:03:00,0
STUBAND_006,ZONE_A,Lecture Hall,1,-48,1,2025-12-01T09:07:00,0
STUBAND_012,ZONE_B,Laboratory,0,-52,1,2025-12-01T09:09:00,0
STUBAND_008,ZONE_C,Library,1,-55,1,2025-12-01T09:12:00,0
STUBAND_004,ZONE_A,Lecture Hall,0,-51,1,2025-12-01T09:26:00,0
STUBAND_013,ZONE_A,Lecture Hall,0,-46,1,2025-12-01T09:29:00,0
STUBAND_004,ZONE_C,Library,1,-63,1,2025-12-01T09:34:00,0
